//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 10-16-2018
//--  Time: 15:54
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -10.0(C), 	Resistance 1: 9300.0 Ohms 
//--    Temperature2: 20.0(C), 	Resistance 2: 2500.0 Ohms 
//--    Temperature3: 80.0(C), 	Resistance 3: 335.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
630	47.56	476 	3.076
631	47.38	474 	3.081
632	47.21	472 	3.086
633	47.03	470 	3.091
634	46.86	469 	3.096
635	46.68	467 	3.101
636	46.51	465 	3.105
637	46.33	463 	3.110
638	46.16	462 	3.115
639	45.98	460 	3.120
640	45.81	458 	3.125
641	45.63	456 	3.130
642	45.46	455 	3.135
643	45.28	453 	3.140
644	45.11	451 	3.145
645	44.93	449 	3.149
646	44.76	448 	3.154
647	44.58	446 	3.159
648	44.41	444 	3.164
649	44.23	442 	3.169
650	44.06	441 	3.174
651	43.88	439 	3.179
652	43.71	437 	3.184
653	43.53	435 	3.188
654	43.35	434 	3.193
655	43.18	432 	3.198
656	43.00	430 	3.203
657	42.82	428 	3.208
658	42.65	426 	3.213
659	42.47	425 	3.218
660	42.29	423 	3.223
661	42.12	421 	3.228
662	41.94	419 	3.232
663	41.76	418 	3.237
664	41.59	416 	3.242
665	41.41	414 	3.247
666	41.23	412 	3.252
667	41.05	411 	3.257
668	40.88	409 	3.262
669	40.70	407 	3.267
670	40.52	405 	3.271
671	40.34	403 	3.276
672	40.17	402 	3.281
673	39.99	400 	3.286
674	39.81	398 	3.291
675	39.63	396 	3.296
676	39.45	395 	3.301
677	39.27	393 	3.306
678	39.09	391 	3.311
679	38.92	389 	3.315
680	38.74	387 	3.320
681	38.56	386 	3.325
682	38.38	384 	3.330
683	38.20	382 	3.335
684	38.02	380 	3.340
685	37.84	378 	3.345
686	37.66	377 	3.350
687	37.48	375 	3.354
688	37.30	373 	3.359
689	37.12	371 	3.364
690	36.94	369 	3.369
691	36.76	368 	3.374
692	36.57	366 	3.379
693	36.39	364 	3.384
694	36.21	362 	3.389
695	36.03	360 	3.394
696	35.85	358 	3.398
697	35.67	357 	3.403
698	35.49	355 	3.408
699	35.30	353 	3.413
700	35.12	351 	3.418
701	34.94	349 	3.423
702	34.76	348 	3.428
703	34.57	346 	3.433
704	34.39	344 	3.438
705	34.21	342 	3.442
706	34.02	340 	3.447
707	33.84	338 	3.452
708	33.65	337 	3.457
709	33.47	335 	3.462
710	33.29	333 	3.467
711	33.10	331 	3.472
712	32.92	329 	3.477
713	32.73	327 	3.481
714	32.55	325 	3.486
715	32.36	324 	3.491
716	32.18	322 	3.496
717	31.99	320 	3.501
718	31.80	318 	3.506
719	31.62	316 	3.511
720	31.43	314 	3.516
721	31.24	312 	3.521
722	31.06	311 	3.525
723	30.87	309 	3.530
724	30.68	307 	3.535
725	30.49	305 	3.540
726	30.31	303 	3.545
727	30.12	301 	3.550
728	29.93	299 	3.555
729	29.74	297 	3.560
730	29.55	296 	3.564
731	29.36	294 	3.569
732	29.17	292 	3.574
733	28.98	290 	3.579
734	28.79	288 	3.584
735	28.60	286 	3.589
736	28.41	284 	3.594
737	28.22	282 	3.599
738	28.03	280 	3.604
739	27.84	278 	3.608
740	27.65	276 	3.613
741	27.46	275 	3.618
742	27.26	273 	3.623
743	27.07	271 	3.628
744	26.88	269 	3.633
745	26.69	267 	3.638
746	26.49	265 	3.643
747	26.30	263 	3.647
748	26.10	261 	3.652
749	25.91	259 	3.657
750	25.72	257 	3.662
751	25.52	255 	3.667
752	25.33	253 	3.672
753	25.13	251 	3.677
754	24.93	249 	3.682
755	24.74	247 	3.687
756	24.54	245 	3.691
757	24.34	243 	3.696
758	24.15	241 	3.701
759	23.95	239 	3.706
760	23.75	238 	3.711
761	23.55	236 	3.716
762	23.36	234 	3.721
763	23.16	232 	3.726
764	22.96	230 	3.730
765	22.76	228 	3.735
766	22.56	226 	3.740
767	22.36	224 	3.745
768	22.16	222 	3.750
769	21.95	220 	3.755
770	21.75	218 	3.760
771	21.55	216 	3.765
772	21.35	213 	3.770
773	21.15	211 	3.774
774	20.94	209 	3.779
775	20.74	207 	3.784
776	20.54	205 	3.789
777	20.33	203 	3.794
778	20.13	201 	3.799
779	19.92	199 	3.804
780	19.72	197 	3.809
781	19.51	195 	3.813
782	19.30	193 	3.818
783	19.10	191 	3.823
784	18.89	189 	3.828
785	18.68	187 	3.833
786	18.47	185 	3.838
787	18.26	183 	3.843
788	18.06	181 	3.848
789	17.85	178 	3.853
790	17.64	176 	3.857
791	17.43	174 	3.862
792	17.21	172 	3.867
793	17.00	170 	3.872
794	16.79	168 	3.877
795	16.58	166 	3.882
796	16.37	164 	3.887
797	16.15	162 	3.892
798	15.94	159 	3.896
799	15.72	157 	3.901
800	15.51	155 	3.906
801	15.29	153 	3.911
802	15.08	151 	3.916
803	14.86	149 	3.921
804	14.64	146 	3.926
805	14.43	144 	3.931
806	14.21	142 	3.936
807	13.99	140 	3.940
808	13.77	138 	3.945
809	13.55	135 	3.950
810	13.33	133 	3.955
